Rental_state,Start,End,Revenue,Distance,duration_minute,revenue_minute,revenue_km,car_id,accum_distance,battery_left
RED,2017-01-06 11:30:28.359,2017-01-06 11:49:48.008,4.03,8,19.32748333333333,0.20851136852616617,0.50375,1,157,21.5
GREEN,2017-01-06 11:54:53.408,2017-01-06 11:58:56.861,0.0,0,4.05755,0.0,0.0,1,157,21.5
RED,2017-01-06 12:36:03.162,2017-01-06 14:46:32.865,22.97,43,130.49505000000002,0.17602200236713955,0.5341860465116279,1,43,78.5
GREEN,2017-01-06 23:47:43.473,2017-01-07 09:37:23.510,0.0,0,589.6672833333333,0.0,0.0,1,43,78.5
RED,2017-01-07 09:40:57.284,2017-01-07 10:13:03.060,6.25,23,32.096266666666665,0.19472669718596555,0.2717391304347826,1,66,67.0
RED,2017-01-07 10:32:03.290,2017-01-07 11:46:51.416,16.88,23,74.80210000000001,0.2256621137641857,0.7339130434782608,1,89,55.5
RED,2017-01-07 11:51:57.769,2017-01-07 12:24:29.518,9.43,14,32.52915,0.28989383368455673,0.6735714285714286,1,103,48.5
RED,2017-01-07 12:24:57.961,2017-01-07 14:09:27.264,25.74,41,104.48838333333333,0.24634317403385989,0.6278048780487805,1,144,28.0
GREEN,2017-01-07 14:16:18.468,2017-01-07 14:26:01.613,0.0,0,9.719083333333334,0.0,0.0,1,144,28.0
RED,2017-01-07 14:54:48.718,2017-01-07 15:08:25.434,2.62,4,13.611933333333333,0.1924781686657296,0.655,1,148,26.0
RED,2017-01-07 15:09:06.019,2017-01-07 15:19:13.556,2.02,2,10.125616666666668,0.19949402258627869,1.01,1,150,25.0
GREEN,2017-01-07 15:31:10.032,2017-01-07 15:37:58.088,0.0,0,6.800933333333333,0.0,0.0,1,150,25.0
RED,2017-01-07 15:39:29.363,2017-01-07 15:50:01.929,2.61,2,10.542766666666667,0.24756310013500565,1.305,1,152,24.0
GREEN,2017-01-07 15:50:19.522,2017-01-07 16:06:16.906,0.0,0,15.9564,0.0,0.0,1,152,24.0
RED,2017-01-07 16:06:19.568,2017-01-07 16:13:34.389,1.41,2,7.247016666666667,0.1945628201029849,0.705,1,154,23.0
GREEN,2017-01-07 16:18:26.697,2017-01-07 16:23:31.319,0.0,0,5.0770333333333335,0.0,0.0,1,154,23.0
RED,2017-01-07 16:29:45.491,2017-01-07 16:32:01.195,0.4,0,2.2617333333333334,0.17685550904910688,inf,1,154,23.0
RED,2017-01-07 16:34:51.689,2017-01-07 16:49:12.471,2.82,5,14.346366666666666,0.1965654486269462,0.564,1,159,20.5
GREEN,2017-01-07 16:49:45.839,2017-01-07 17:18:48.892,0.0,0,29.050883333333335,0.0,0.0,1,159,20.5
RED,2017-01-07 17:31:29.743,2017-01-07 17:53:37.438,6.29,7,22.128249999999998,0.2842520307751404,0.8985714285714286,1,7,96.5
GREEN,2017-01-08 03:19:50.673,2017-01-08 03:20:09.716,0.0,0,0.3173833333333333,0.0,0.0,1,7,96.5
RED,2017-01-08 06:04:53.249,2017-01-08 06:20:08.796,3.97,8,15.259116666666667,0.2601723341346758,0.49625,1,15,92.5
RED,2017-01-08 06:50:33.994,2017-01-08 07:00:09.222,1.82,3,9.587133333333332,0.18983776867607283,0.6066666666666667,1,18,91.0
GREEN,2017-01-08 07:25:24.195,2017-01-08 09:34:29.053,0.0,0,129.08096666666668,0.0,0.0,1,18,91.0
RED,2017-01-08 10:02:54.835,2017-01-08 10:29:38.998,5.45,11,26.73605,0.2038446217747199,0.4954545454545455,1,29,85.5
GREEN,2017-01-08 10:30:10.359,2017-01-08 10:30:38.273,0.0,0,0.46523333333333333,0.0,0.0,1,29,85.5
RED,2017-01-08 10:49:21.811,2017-01-08 11:14:34.817,6.51,12,25.21676666666667,0.25816156710548405,0.5425,1,41,79.5
RED,2017-01-08 11:22:47.712,2017-01-08 11:32:33.498,2.02,5,9.7631,0.20690149645092237,0.404,1,46,77.0
RED,2017-01-08 11:35:04.241,2017-01-08 11:43:35.860,2.34,5,8.526983333333334,0.2744229592724273,0.46799999999999997,1,51,74.5
GREEN,2017-01-08 11:45:27.471,2017-01-08 12:23:48.187,0.0,0,38.34526666666667,0.0,0.0,1,51,74.5
