Rental_state;Start;End;Revenue;Distance;duration_minute;revenue_minute;revenue_km;car_id;accum_distance;battery_left;reset_flag;segment;running_duration;running_revenue;profitable_minutes;Incentive20;Incentive15;Incentive10;Incentive5
RED;52:30,6;03:27,0;2,22;3;10,93988333;0,20292721;0,74;1;75;62,5;0;1000014;231,9701667;51,74;0;-20;-15;-10;-5
RED;34:04,5;39:20,9;1,01;2;5,273233333;0,191533341;0,505;1;77;61,5;0;1000014;237,2434;52,75;0;-20;-15;-10;-5
RED;43:30,2;00:46,9;3,43;8;17,2781;0,198517198;0,42875;1;85;57,5;0;1000014;254,5215;56,18;0;-20;-15;-10;-5
RED;01:25,8;21:48,0;4,24;11;20,37135;0,208135445;0,385454545;1;96;52;0;1000014;274,89285;60,42;0;-20;-15;-10;-5
RED;26:44,5;55:12,9;5,85;15;28,47356667;0,205453713;0,39;1;111;44,5;0;1000014;303,3664167;66,27;0;-20;-15;-10;-5
RED;55:26,2;00:17,7;1,01;1;4,85855;0,207880952;1,01;1;112;44;0;1000014;308,2249667;67,28;0;-20;-15;-10;-5
RED;29:42,7;40:48,9;2,22;5;11,1022;0,199960368;0,444;1;117;41,5;0;1000014;319,3271667;69,5;0;-20;-15;-10;-5
RED;01:55,7;18:00,9;3,1;5;16,08735;0,192697989;0,62;1;122;39;0;1000014;335,4145167;72,6;0;-20;-15;-10;-5
RED;22:08,3;50:44,4;5,85;11;28,60208333;0,204530556;0,531818182;1;133;33,5;0;1000014;364,0166;78,45;0;-20;-15;-10;-5
RED;51:56,3;10:47,9;3,83;8;18,85936667;0,203082111;0,47875;1;141;29,5;0;1000014;382,8759667;82,28;0;-20;-15;-10;-5
RED;47:10,8;03:48,9;15,66;8;76,63613333;0,204342251;1,9575;1;149;25,5;0;1000014;459,5121;97,94;0;-20;-15;-10;-5
